340^695	114.04012	30.58043	-6.17	2525
340^707	114.04012	30.59123	-7.70	89
340^734	114.04012	30.61553	-9.39	137
340^749	114.04012	30.62903	-11.30	329
340^761	114.04012	30.63983	-9.97	202
340^776	114.04012	30.65333	-12.83	9
341^724	114.04116	30.60653	-9.43	52
341^739	114.04116	30.62003	-9.88	211
341^751	114.04116	30.63083	-11.52	199
341^766	114.04116	30.64433	-10.75	70
342^714	114.04220	30.59753	-7.86	167
342^729	114.04220	30.61103	-11.16	52
342^741	114.04220	30.62183	-11.13	223
342^756	114.04220	30.63533	-13.42	176
342^783	114.04220	30.65963	-10.83	3
343^692	114.04324	30.57773	-6.10	288
343^704	114.04324	30.58853	-6.78	129
343^719	114.04324	30.60203	-7.01	78
343^731	114.04324	30.61283	-11.81	51
343^746	114.04324	30.62633	-10.84	305
343^773	114.04324	30.65063	-13.00	8
344^697	114.04428	30.58223	-8.00	155
344^709	114.04428	30.59303	-5.17	153
344^721	114.04428	30.60383	-9.30	22
344^736	114.04428	30.61733	-11.83	83
344^763	114.04428	30.64163	-13.31	81
344^778	114.04428	30.65513	-12.69	8
345^711	114.04532	30.59483	-5.61	341
345^726	114.04532	30.60833	-11.40	35
345^753	114.04532	30.63263	-10.54	610
345^768	114.04532	30.64613	-12.21	12
345^780	114.04532	30.65693	-10.82	14
346^701	114.04636	30.58583	-7.73	64
346^716	114.04636	30.59933	-4.22	363
346^743	114.04636	30.62363	-11.88	204
346^758	114.04636	30.63713	-12.69	305
346^770	114.04636	30.64793	-10.96	13
346^785	114.04636	30.66143	-10.19	16
347^694	114.04740	30.57953	-6.07	214
347^706	114.04740	30.59033	-6.24	92
347^733	114.04740	30.61463	-10.66	91
347^748	114.04740	30.62813	-11.27	838
347^760	114.04740	30.63893	-12.85	182
347^775	114.04740	30.65243	-12.31	8
348^699	114.04844	30.58403	-5.19	295
348^723	114.04844	30.60563	-10.88	34
348^738	114.04844	30.61913	-11.82	196
348^750	114.04844	30.62993	-9.10	3063
348^765	114.04844	30.64343	-15.43	65
349^689	114.04948	30.57503	-6.05	184
349^713	114.04948	30.59663	-4.37	851
349^728	114.04948	30.61013	-10.14	52
349^740	114.04948	30.62093	-12.91	259
349^755	114.04948	30.63443	-9.08	2981
349^782	114.04948	30.65873	-12.49	36
350^700	114.05052	30.58493	-6.44	130
350^715	114.05052	30.59843	-4.15	535
350^742	114.05052	30.62273	-12.27	420
350^757	114.05052	30.63623	-11.08	1044
350^784	114.05052	30.66053	-12.98	26
351^693	114.05156	30.57863	-5.37	2645
351^705	114.05156	30.58943	-8.95	37
351^732	114.05156	30.61373	-11.12	200
351^747	114.05156	30.62723	-10.34	1937
351^774	114.05156	30.65153	-11.28	23
352^698	114.05260	30.58313	-6.29	223
352^722	114.05260	30.60473	-10.12	37
352^737	114.05260	30.61823	-10.55	800
352^764	114.05260	30.64253	-14.27	91
352^779	114.05260	30.65603	-11.21	14
353^712	114.05364	30.59573	-6.34	209
353^727	114.05364	30.60923	-12.11	102
353^754	114.05364	30.63353	-6.60	20249
353^769	114.05364	30.64703	-11.91	17
353^781	114.05364	30.65783	-10.81	16
354^690	114.05468	30.57593	-5.11	744
354^702	114.05468	30.58673	-6.97	178
354^717	114.05468	30.60023	-8.12	67
354^744	114.05468	30.62453	-10.37	1367
354^759	114.05468	30.63803	-10.69	427
354^771	114.05468	30.64883	-10.47	19
355^695	114.05572	30.58043	-5.73	3060
355^707	114.05572	30.59123	-8.98	44
355^734	114.05572	30.61553	-10.14	1485
355^749	114.05572	30.62903	-9.11	3159
355^761	114.05572	30.63983	-13.01	187
355^776	114.05572	30.65333	-12.74	17
356^724	114.05676	30.60653	-12.27	66
356^739	114.05676	30.62003	-8.57	4981
356^751	114.05676	30.63083	-9.25	2932
356^766	114.05676	30.64433	-13.67	47
357^714	114.05780	30.59753	-6.72	53
357^729	114.05780	30.61103	-10.83	716
357^741	114.05780	30.62183	-8.55	5055
357^756	114.05780	30.63533	-9.73	781
357^783	114.05780	30.65963	-8.36	21
358^692	114.05884	30.57773	-5.23	2146
358^704	114.05884	30.58853	-7.24	100
